x,y,action,reward,points,fuel
11,1,-1,0.0,0.0,60.0
10,1,0,19.0,1.0,59.75
9,1,0,-0.007338294293731451,1.0,59.42661666870117
9,0,2,0.0,1.0,59.17661666870117
8,0,0,-0.0001302871824009344,1.0,58.92531204223633
7,0,0,18.997278213500977,2.0,58.648094177246094
7,0,2,0.0,2.0,58.398094177246094
7,1,3,0.0,2.0,58.148094177246094
7,2,3,0.0,2.0,57.898094177246094
7,1,2,-0.001326737692579627,2.0,57.63482666015625
6,1,0,0.0,2.0,57.38482666015625
6,2,3,-0.006452365778386593,2.0,57.07030487060547
6,1,2,0.0,2.0,56.82030487060547
5,1,0,-0.007408492267131805,2.0,56.496219635009766
6,1,1,0.0,2.0,56.246219635009766
7,1,1,-0.0025911936536431313,2.0,55.970306396484375
7,0,2,-0.0033944002352654934,2.0,55.686363220214844
7,1,3,0.0,2.0,55.436363220214844
6,1,0,0.0,2.0,55.186363220214844
6,0,2,-0.002417319919914007,2.0,54.91218948364258
6,0,2,0.0,2.0,54.66218948364258
6,0,2,0.0,2.0,54.41218948364258
6,0,2,0.0,2.0,54.16218948364258
7,0,1,-0.003568274201825261,2.0,53.87650680541992
7,1,3,0.0,2.0,53.62650680541992
8,1,1,-0.0016735332319512963,2.0,53.359771728515625
9,1,1,-0.0043228487484157085,2.0,53.06654357910156
10,1,1,0.0,2.0,52.81654357910156
10,2,3,0.0,2.0,52.56654357910156
9,2,0,-1.3871676856069826e-05,2.0,52.31640625
9,1,2,-0.008346744813024998,2.0,51.982940673828125
9,0,2,0.0,2.0,51.732940673828125
9,0,2,0.0,2.0,51.482940673828125
10,0,1,18.99826431274414,3.0,51.21558380126953
10,0,2,0.0,3.0,50.96558380126953
10,1,3,0.0,3.0,50.71558380126953
11,1,1,-0.004487364552915096,3.0,50.420711517333984
11,0,2,19.0,4.0,50.170711517333984
11,0,2,0.0,4.0,49.920711517333984
11,1,3,-0.0014052164042368531,4.0,49.65665817260742
11,2,3,0.0,4.0,49.40665817260742
11,3,3,-0.006966577377170324,4.0,49.08699417114258
10,3,0,0.0,4.0,48.83699417114258
10,2,2,0.0,4.0,48.58699417114258
11,2,1,0.0,4.0,48.33699417114258
10,2,0,-2.2990070647210814e-05,4.0,48.08676528930664
10,3,3,-0.0010306554613634944,4.0,47.82645797729492
9,3,0,-0.0032237619161605835,4.0,47.544219970703125
9,2,2,0.0,4.0,47.294219970703125
8,2,0,-0.005834873300045729,4.0,46.985870361328125
8,1,2,0.0,4.0,46.735870361328125
8,2,3,-0.001810977584682405,4.0,46.4677619934082
8,3,3,0.0,4.0,46.2177619934082
7,3,0,-0.0034461759496480227,4.0,45.93330001831055
7,2,2,0.0,4.0,45.68330001831055
8,2,1,-0.004811248742043972,4.0,45.385189056396484
7,2,0,0.0,4.0,45.135189056396484
7,3,3,-0.00540883606299758,4.0,44.83110046386719
8,3,1,0.0,4.0,44.58110046386719
7,3,0,-0.0034461759496480227,4.0,44.29663848876953
7,4,3,0.0,4.0,44.04663848876953
6,4,0,0.0,4.0,43.79663848876953
6,5,3,-0.004285230301320553,4.0,43.503787994384766
7,5,1,0.0,4.0,43.253787994384766
6,5,0,-0.004160396754741669,4.0,42.96218490600586
7,5,1,0.0,4.0,42.71218490600586
6,5,0,-0.004160396754741669,4.0,42.42058181762695
6,6,3,0.0,4.0,42.17058181762695
5,6,0,0.0,4.0,41.92058181762695
5,7,3,-0.0043739574030041695,4.0,41.6268424987793
5,8,3,-0.0019981905352324247,4.0,41.35686111450195
5,9,3,-0.0021455043461173773,4.0,41.08540725708008
4,9,0,0.0,4.0,40.83540725708008
5,9,1,-0.00608630757778883,4.0,40.52454376220703
5,10,3,-0.00012886474723927677,4.0,40.27325439453125
5,9,2,0.0,4.0,40.02325439453125
5,10,3,-0.00012886474723927677,4.0,39.77196502685547
5,9,2,0.0,4.0,39.52196502685547
6,9,1,18.99821662902832,5.0,39.2541389465332
