,actions,rewards,state_values,logprobs,entropies
0,1200,0.3020115792751312,-0.21525444090366364,-1.3644596338272095,1.367418646812439
1,1208,0.20281554758548737,1.0939733982086182,-1.3611801862716675,1.3568404912948608
2,1176,0.25429192185401917,0.16734911501407623,-1.3323822021484375,1.3341760635375977
3,1126,0.30909183621406555,0.15304206311702728,-1.3544230461120605,1.353824257850647
4,1057,0.3119075298309326,0.4932379126548767,-1.3660449981689453,1.3698660135269165
5,1042,0.2551698386669159,0.9788233041763306,-1.3795117139816284,1.3764230012893677
6,922,0.28803008794784546,0.27281859517097473,-1.383622407913208,1.3813179731369019
7,893,0.30905064940452576,0.6843148469924927,-1.3842874765396118,1.3843741416931152
8,923,0.3058646619319916,1.0480563640594482,-1.3857897520065308,1.3850868940353394
9,921,0.32441049814224243,1.9210808277130127,-1.3837165832519531,1.3841502666473389
10,985,0.34501728415489197,2.180953025817871,-1.3810125589370728,1.3813230991363525
11,931,0.28348812460899353,1.3202608823776245,-1.385883092880249,1.3837608098983765
12,1036,0.2187948077917099,3.2225680351257324,-1.38172447681427,1.383925437927246
13,1021,0.1767418533563614,0.8159223198890686,-1.3792998790740967,1.3791574239730835
14,915,0.2571277320384979,0.5617926716804504,-1.384537696838379,1.3827499151229858
15,938,0.2762468159198761,0.22865018248558044,-1.3850516080856323,1.3852134943008423
